,job title,company name,avg salary,city,state,education,technical skills,soft skills,business skills
63,Data Architect,VISIMO,110941.5,Carnegie,PA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree""]","['TensorFlow', 'Data modeling', 'PyTorch', 'Big data', 'Writing skills', 'NumPy', 'Pandas', 'Machine learning', 'Natural language processing', 'Regression analysis', 'Predictive analytics', 'AI', 'Python', 'Analytics']",['Research'],[]
64,Data Architect,Visions in View Inc,125691.0,South San Francisco,CA,[],"['Cloud infrastructure', 'Machine learning', 'AI', 'Python']",[],"['CI/CD', 'AWS']"
65,Data Scientist,Amaze Systems Inc,129000.0,Trout Lake,WA,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['SQL', 'Math', 'Machine learning', 'Natural language processing', 'Scripting', 'Regression analysis', 'Python']",[],[]
66,Data Scientist,Aspen Technology,106000.0,Bedford,MA,"['Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']","['Data mining', 'Writing skills', 'Machine learning', 'Deep learning', 'Natural language processing', 'Software development', 'Regression analysis', 'Predictive analytics', 'AI', 'Python', 'Chemical engineering']",['Communication skills'],[]
67,Data Scientist,Asset Marketing Services,105500.0,Eagan,MN,[],"['Power BI', 'Data mining', 'Statistics', 'Data structures', 'R', 'NoSQL', 'Tableau', 'SQL', 'Machine learning', 'Data management', 'Deep learning', 'Natural language processing', 'ETL', 'Predictive analytics', 'Data collection', 'SSIS', 'Python']",['Communication skills'],['Azure']
68,Data Scientist,"Asset Marketing Services, LLC",130941.0,Eagan,MN,"[""Bachelor's degree""]","['Power BI', 'Data mining', 'Statistics', 'Data structures', 'R', 'NoSQL', 'Tableau', 'SQL', 'Machine learning', 'Data management', 'Deep learning', 'Natural language processing', 'ETL', 'Predictive analytics', 'Data collection', 'SSIS', 'Python']",['Communication skills'],['Azure']
69,Data Scientist,Battelle,106500.0,Columbus,OH,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['Computer science', 'Computer Science', 'Calculus', 'C#', 'Data analysis skills', 'Java', 'OOP', 'C++', 'Machine learning', 'Natural language processing', 'Computer Programming', 'AI']",[],[]
70,Data Scientist,Biological Dynamics,180000.0,San Diego,CA,"['Doctoral degree', ""Master's degree"", ""Bachelor's degree"", 'Doctor of Philosophy']","['R', 'SQL', 'Machine learning', 'AI', 'Python']",['Communication skills'],"['Azure', 'Management', 'Google Cloud Platform', 'AWS', 'Product management']"
71,Data Scientist,Biz2Credit Inc,120000.0,New York,NY,"[""Master's degree""]","['Statistics', 'Mathematics', 'Natural language processing']",[],[]
72,Data Scientist,Burger King,62500.0,South Ogden,UT,"[""Bachelor's degree""]","['Microsoft Powerpoint', 'Microsoft Word', 'Power BI', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft Office', 'SQL', 'Business Information Systems', 'Restaurant experience']",[],[]
