job title,company name,location,salary,skills
Cyber Threat Intelligence Analyst (TS/SCI),"Bushido Associates, Inc. -","Chantilly, VA","$125,000 - $140,000 a year",Bachelor's degree
"Risk Consultant - Third Party Risk Management, Minneapolis",U.S. Bank National Association - 3.6,Colorado,"$99,365 - $128,590 a year",Certified Information Systems Auditor
"Risk Consultant - Third Party Risk Management, Minneapolis",U.S. Bank National Association - 3.6,Colorado,"$99,365 - $128,590 a year",Project management
"Risk Consultant - Third Party Risk Management, Minneapolis",U.S. Bank National Association - 3.6,Colorado,"$99,365 - $128,590 a year",Analysis skills
"Risk Consultant - Third Party Risk Management, Minneapolis",U.S. Bank National Association - 3.6,Colorado,"$99,365 - $128,590 a year",Information security
"Risk Consultant - Third Party Risk Management, Minneapolis",U.S. Bank National Association - 3.6,Colorado,"$99,365 - $128,590 a year",Computer skills
"Risk Consultant - Third Party Risk Management, Minneapolis",U.S. Bank National Association - 3.6,Colorado,"$99,365 - $128,590 a year",Bachelor's degree
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",Information security
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",SOX
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",IT auditing
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",PCI
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",HIPAA
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",Bachelor's degree
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",High school diploma or GED
"Manager, Cyber Security Compliance (Remote)",CHS Corporate - 2.5,"Franklin, TN","Estimated: $74,000 - $100,000 a year",Master's degree
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",IaaS
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",Azure
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",Microsoft Excel
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",FedRAMP
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",Microsoft Powerpoint
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",Bachelor of Science
Information Assurance Analyst,Cherokee Federal - 3.1,"Rosslyn, VA","Estimated: $95,000 - $130,000 a year",Bachelor's degree
"Academic Specialist, Cyber Security",Union County College - 3.9,"Cranford, NJ","$60,000 - $90,000 a year",Writing skills
"Academic Specialist, Cyber Security",Union County College - 3.9,"Cranford, NJ","$60,000 - $90,000 a year",Python
"Academic Specialist, Cyber Security",Union County College - 3.9,"Cranford, NJ","$60,000 - $90,000 a year",IT
"Academic Specialist, Cyber Security",Union County College - 3.9,"Cranford, NJ","$60,000 - $90,000 a year",Cybersecurity
"Academic Specialist, Cyber Security",Union County College - 3.9,"Cranford, NJ","$60,000 - $90,000 a year",Linux
"Academic Specialist, Cyber Security",Union County College - 3.9,"Cranford, NJ","$60,000 - $90,000 a year",Master's degree
IT Security Consultant (vCISO),First Call Computer Solutions - 3.3,"Missoula, MT","$50,000 - $80,000 a year",Information security
IT Security Consultant (vCISO),First Call Computer Solutions - 3.3,"Missoula, MT","$50,000 - $80,000 a year",Financial acumen
IT Security Consultant (vCISO),First Call Computer Solutions - 3.3,"Missoula, MT","$50,000 - $80,000 a year",Communication skills
IT Security Consultant (vCISO),First Call Computer Solutions - 3.3,"Missoula, MT","$50,000 - $80,000 a year",Network administration
IT Security Consultant (vCISO),First Call Computer Solutions - 3.3,"Missoula, MT","$50,000 - $80,000 a year",Cloud security
HR Security Administrator - Workday,U.S. Bank National Association - 3.6,Nevada,"$112,880 - $146,080 a year",Writing skills
HR Security Administrator - Workday,U.S. Bank National Association - 3.6,Nevada,"$112,880 - $146,080 a year",Workday
HR Security Administrator - Workday,U.S. Bank National Association - 3.6,Nevada,"$112,880 - $146,080 a year",Authentication
HR Security Administrator - Workday,U.S. Bank National Association - 3.6,Nevada,"$112,880 - $146,080 a year",Business process modeling
HR Security Administrator - Workday,U.S. Bank National Association - 3.6,Nevada,"$112,880 - $146,080 a year",Agile
HR Security Administrator - Workday,U.S. Bank National Association - 3.6,Nevada,"$112,880 - $146,080 a year",Bachelor's degree
IT Security and Compliance Specialist (REMOTE),eAssist Inc - 4.0,"American Fork, UT","$65,000 - $80,000 a year",Analysis skills
IT Security and Compliance Specialist (REMOTE),eAssist Inc - 4.0,"American Fork, UT","$65,000 - $80,000 a year",Communication skills
IT Security and Compliance Specialist (REMOTE),eAssist Inc - 4.0,"American Fork, UT","$65,000 - $80,000 a year",Research
IT Security and Compliance Specialist (REMOTE),eAssist Inc - 4.0,"American Fork, UT","$65,000 - $80,000 a year",SOX
IT Security and Compliance Specialist (REMOTE),eAssist Inc - 4.0,"American Fork, UT","$65,000 - $80,000 a year",Cybersecurity
IT Security and Compliance Specialist (REMOTE),eAssist Inc - 4.0,"American Fork, UT","$65,000 - $80,000 a year",Bachelor's degree
Cybersecurity Engineer,US National Geospatial-Intelligence Agency -,"Saint Louis, VA","$70,649 - $145,617 a year",Network architecture
Cybersecurity Engineer,US National Geospatial-Intelligence Agency -,"Saint Louis, VA","$70,649 - $145,617 a year",Employee evaluation
Cybersecurity Engineer,US National Geospatial-Intelligence Agency -,"Saint Louis, VA","$70,649 - $145,617 a year",IAT
Cybersecurity Engineer,US National Geospatial-Intelligence Agency -,"Saint Louis, VA","$70,649 - $145,617 a year",Network security
Cybersecurity Engineer,US National Geospatial-Intelligence Agency -,"Saint Louis, VA","$70,649 - $145,617 a year",DoD 8570
Cybersecurity Engineer,US National Geospatial-Intelligence Agency -,"Saint Louis, VA","$70,649 - $145,617 a year",Bachelor's degree
Software Security Engineer,"Garmin International, Inc. - 3.7","Brea, CA","Estimated: $75,000 - $110,000 a year",Assembly
Software Security Engineer,"Garmin International, Inc. - 3.7","Brea, CA","Estimated: $75,000 - $110,000 a year",C++
Software Security Engineer,"Garmin International, Inc. - 3.7","Brea, CA","Estimated: $75,000 - $110,000 a year",C
Software Security Engineer,"Garmin International, Inc. - 3.7","Brea, CA","Estimated: $75,000 - $110,000 a year",Root cause analysis
Software Security Engineer,"Garmin International, Inc. - 3.7","Brea, CA","Estimated: $75,000 - $110,000 a year",C#
Software Security Engineer,"Garmin International, Inc. - 3.7","Brea, CA","Estimated: $75,000 - $110,000 a year",Bachelor's degree
Sr. Security Engineer,Datawiz Corporation -,"McLean, VA",null,IDS
Sr. Security Engineer,Datawiz Corporation -,"McLean, VA",null,PCI
Sr. Security Engineer,Datawiz Corporation -,"McLean, VA",null,Communication skills
Sr. Security Engineer,Datawiz Corporation -,"McLean, VA",null,CompTIA Security+
Sr. Security Engineer,Datawiz Corporation -,"McLean, VA",null,Firewall
Sr. Security Engineer,Datawiz Corporation -,"McLean, VA",null,Bachelor's degree
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",Communication skills
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",Information security
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",Cybersecurity
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",Risk management
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",Bachelor's degree
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",High school diploma or GED
"Sr Engineer, Cyber Security Risk Management (Remote)",Community Health Systems (CHS) - 3.2,"Franklin, TN","Estimated: $100,000 - $140,000 a year",Master's degree
Sr. Project Manager -Cyber Security/Infor Security - Infrastructure Project,"Innovative Computer Solutions Group, Inc -",Remote,"$145,000 - $150,000 a year",Auto estimating
Sr. Project Manager -Cyber Security/Infor Security - Infrastructure Project,"Innovative Computer Solutions Group, Inc -",Remote,"$145,000 - $150,000 a year",PMP
Sr. Project Manager -Cyber Security/Infor Security - Infrastructure Project,"Innovative Computer Solutions Group, Inc -",Remote,"$145,000 - $150,000 a year",Microsoft Excel
Sr. Project Manager -Cyber Security/Infor Security - Infrastructure Project,"Innovative Computer Solutions Group, Inc -",Remote,"$145,000 - $150,000 a year",Microsoft Project
Sr. Project Manager -Cyber Security/Infor Security - Infrastructure Project,"Innovative Computer Solutions Group, Inc -",Remote,"$145,000 - $150,000 a year",Communication skills
Sr. Project Manager -Cyber Security/Infor Security - Infrastructure Project,"Innovative Computer Solutions Group, Inc -",Remote,"$145,000 - $150,000 a year",Bachelor's degree
