job title,salary,Min Salary,Max Salary,skills
Software Developer,0,0,0,"['Vue.js', 'LAMP stack', 'JavaScript', 'Node.js', 'PHP']"
Principal Engine Software Management Engineer,0,0,0,"['VBA', 'Microsoft Project', 'C++', 'MATLAB', 'C', ""Bachelor's degree""]"
Principal ServiceNow (ITBM) Developer (Remote),0,0,0,"['Software deployment', 'Web development', 'SOAP', 'REST', 'CSS']"
Software Engineer,0,0,0,"['System design', 'Data science', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['Web services', 'Scrum', 'Bootstrap', 'UNIX', 'DevOps']"
Project Engineer (Hardware & Software),0,0,0,"['Project management', 'Microsoft Excel', 'Computer skills', 'Military', 'IT', ""Bachelor's degree""]"
Software Developer,0,0,0,"['System design', 'CI/CD', 'Application development', 'Software troubleshooting', 'Machine learning']"
React Native Developer,0,0,0,"['Figma', 'UI', 'Mobile applications', 'Redux', 'Communication skills']"
SAP Platform Middleware Program Engineer,0,0,0,"['Middleware', 'PMP', 'SQL', 'SAP S/4HANA', 'UML', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['CSS', 'Azure', '.NET', 'Visual Studio', 'jQuery', ""Bachelor's degree""]"
Software Developer,0,0,0,"['.NET Core', 'SQL', '.NET', 'Visual Studio', 'Agile', ""Bachelor's degree"", ""Associate's degree""]"
Cloud Engineer,0,0,0,"['VMWare', 'Windows', 'Microsoft Windows Server', 'Communication skills', 'ServiceNow', ""Bachelor's degree"", 'Design patterns', 'Mentoring', 'CI/CD', 'AWS Certification', 'GitHub', ""Bachelor's degree""]"
DevOps Engineer,0,0,0,"['Bash', 'Ansible', 'REST', 'Information security', 'Jenkins', 'Bash', 'Ansible', 'REST', 'Jenkins', 'GitLab']"
Senior Developer (C++) - Hybrid,0,0,0,"['C++', 'Project management', 'Leadership', 'Communication skills', 'Systems analysis', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['React', 'Web services', 'DevOps', 'Communication skills', 'Python']"
Software Developer,0,0,0,"['J2EE', 'Confluence', 'SQL', 'Shell Scripting', 'NoSQL', ""Bachelor's degree"", ""Master's degree"", 'Azure', 'SQL', 'GitHub', 'Scrum', 'Microsoft SQL Server']"
Software Engineer,0,0,0,"['React', 'Elasticsearch', 'Design patterns', 'SQL', 'GraphQL', 'Bachelor of Science', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']"
Senior Manager - Guidewire Senior configuration developer,0,0,0,['SharePoint']
Site Reliability Engineer,0,0,0,"['Software troubleshooting', 'Go', 'DevOps', 'Python', 'Kubernetes', ""Bachelor's degree""]"
Software Developer,0,0,0,"['Web services', 'SQL', 'Kanban', 'Scrum', 'DB2', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['Microservices', 'NoSQL', 'Cassandra', 'APIs', 'Machine learning', 'Bachelor of Science', ""Bachelor's degree"", 'Web services', 'SOAP', '.NET Core', 'CSS', 'Azure', ""Bachelor's degree"", 'Technical support', 'Web services', 'SOAP', 'Relational databases', 'Azure', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['Design patterns', 'C++', 'Mobile applications', 'Communication skills', 'Machine learning', 'Bachelor of Science', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['System design', 'Go', 'Test-driven development', 'RESTful API', 'Communication skills', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['React', 'CSS', 'Node.js', 'NoSQL', 'Chef', ""Bachelor's degree"", ""Master's degree""]"
Senior Statistical Programmer / Statistical Programmer - Early Clinical CVRM Biometrics,0,0,0,"['Growing experience', 'Communication skills', 'SAS', 'Bachelor of Science', ""Bachelor's degree"", 'SAS']"
Software Developer,0,0,0,"['Bash', 'Azure', 'Shell Scripting', 'New Relic', 'PaaS', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']"
ServiceNow Developer (Remote),0,0,0,"['Requirements gathering', 'Web services', 'Data modeling', 'LDAP', 'Certified Scrum Master']"
Site Reliability Engineer,0,0,0,"['Splunk', 'Ansible', 'Research', 'Ab Initio', 'WebSphere']"
Site Reliability Engineer,0,0,0,"['DNS', 'Network protocols', 'TCP', 'Go', 'TCP/IP']"
Software Developer,0,0,0,"['SQL', 'Software development', 'Visual Studio']"
Software Developer,0,0,0,"['Kotlin', 'Software development', 'C#']"
Software Developer,0,0,0,"['SQL', '.NET', 'Java']"
Software Developer,0,0,0,"['SQL', 'ASP.NET', 'ASME codes & standards']"
Software Engineer,0,0,0,"['Data science', 'Software development', ""Bachelor's degree"", ""Master's degree"", 'React', 'Azure', 'Entity Framework', 'Systems analysis', 'Spring Boot', ""Bachelor's degree"", nan]"
Software Engineer,0,0,0,[nan]
Software Engineer,0,0,0,"['Product management', 'ARM', 'Software troubleshooting', 'C++', 'Product development', ""Bachelor's degree"", ""Master's degree""]"
Software Engineer,0,0,0,"['Writing skills', 'Analysis skills', 'LabView', 'TensorFlow', 'Communication skills', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['Integration testing', 'PHP', 'MySQL']"
Software Engineer,0,0,0,"['Java', 'C++', 'Operating systems']"
Software Engineer,0,0,0,"['System design', 'CI/CD', 'Application development', 'Software troubleshooting', 'Agile']"
Software Engineer,0,0,0,"['Natural language processing', 'Distributed systems', 'Data structures', 'Google Cloud Platform', 'Software development', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree"", 'Doctor of Philosophy']"
Software Engineer,0,0,0,"['Natural language processing', 'TensorFlow', 'Distributed systems', 'Machine learning', 'Data structures', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree"", 'Doctor of Philosophy']"
Software Engineer,0,0,0,"['Splunk', 'Ansible', 'Jenkins', 'GitLab', 'Chef', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['J2EE', 'Cloud architecture', 'SDLC', 'C#', 'Java', 'Bachelor of Science', ""Bachelor's degree""]"
Software Engineer,0,0,0,"['XML', 'Git', 'Software development']"
Software Engineer,0,0,0,"['Natural language processing', 'C++', 'Leadership', 'C', 'Distributed systems', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree"", 'Doctor of Philosophy']"
Software Engineer,0,0,0,"['Java', 'Visual Studio', 'C++']"
Software Integration Engineer--Tableau,0,0,0,"['SQL', 'Tableau', 'Data visualization', 'AWS', ""Bachelor's degree"", ""Master's degree""]"
"Software Integration, Test Engineer",0,0,0,"['Jira', 'Cloud architecture', 'C++', 'Communication skills', 'C', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['Shell Scripting', 'System design', 'TCP', 'C++', 'Signal processing', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['React', 'Confluence', 'SQL', 'NoSQL', 'Spring Boot', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['.NET Core', 'WCF', 'Azure', 'Windows', '.NET']"
"Staff Engineer, Product Software",0,0,0,"['DevOps', 'Product management', ""Bachelor's degree""]"
Statistical Programmer,0,0,0,"['Clinical trials', 'SQL', 'SAS', 'Tableau', 'CDISC standards', ""Master's degree""]"
Software Engineer,0,0,0,"['C++', 'Integration testing', 'Python', 'Virtualization', 'Computer networking', 'Bachelor of Science', ""Bachelor's degree""]"
Tableau Software Integration Engineer,0,0,0,"['SQL', 'Tableau', 'Data visualization', 'AWS', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,0,0,0,"['Azure', 'PyTorch', 'VMWare', 'C++', 'Machine learning', ""Master's degree""]"
iOS Developer,0,0,0,"['GitHub', 'Git', 'Continuous integration']"
Full Stack Developer,$100 - $110 an hour,100 , 110,"['.NET Core', 'Communication skills', 'IIS']"
Software Developer,$100 an hour,100,0,"['TypeScript', 'Entity Framework', '.NET', 'JavaScript', 'JSON']"
Sr. Front End Developer,$100 an hour,100,0,"['Front-end development', 'Full-stack development', 'Jira', 'JavaScript', 'HTML5']"
Software Developer,"$100,000 - $112,000 a year",100000 , 112000,"['Power BI', 'SQL', 'VBA', 'IAT', 'TFS', ""Bachelor's degree"", ""Associate's degree""]"
Software Developer,"$100,000 - $115,000 a year",100000 , 115000,"['SQL', 'Spark', 'Product management', 'Agile', 'Hadoop']"
Software V&V Engineer,"$100,000 - $115,000 a year",100000 , 115000,"['Perl', 'Embedded software', 'Python']"
Backend Developer,"$100,000 - $120,000 a year",100000 , 120000,"['Relational databases', 'Design patterns', 'Azure', 'SQL', 'Node.js']"
Software Developer,"$100,000 - $120,000 a year",100000 , 120000,"['React', 'Analysis skills', 'CSS', 'Azure', 'Backbone.js']"
Full Stack Engineer,"$100,000 - $120,000 a year",100000 , 120000,"['React', 'Design patterns', 'Azure', 'Go', 'DevOps']"
Oracle APEX Developer,"$100,000 - $120,000 a year",100000 , 120000,"['Web services', 'Relational databases', 'SQL', 'RESTful API', 'Cloud development', ""Bachelor's degree"", ""Master's degree""]"
Software Engineer,"$100,000 - $120,000 a year",100000 , 120000,"['FPGA', 'C++', 'MATLAB', 'Communication skills', 'Agile', 'Doctoral degree', ""Bachelor's degree"", ""Master's degree"", 'Doctor of Philosophy']"
Software Developer,"$100,000 - $120,000 a year",100000 , 120000,"['REST', 'System design', 'CI/CD', 'Hibernate', 'Spring']"
UI/Angular Developer (FTE),"$100,000 - $120,000 a year",100000 , 120000,"['UI development', 'JavaScript', 'Python', 'Angular']"
Software Engineer,"$100,000 - $125,000 a year",100000 , 125000,"['Continuous integration', 'Jenkins', 'GitLab', 'Mentoring', 'Node.js']"
Program Coordinator,"$100,000 - $125,000 a year",100000 , 125000,"['Communication skills', 'Administrative experience', 'Organizational skills', ""Bachelor's degree""]"
Remote Senior Angular Developer (US Citizen) Dept of Labor,"$100,000 - $130,000 a year",100000 , 130000,"['J2EE', 'Confluence', 'CSS', 'RESTful API', 'Visio', ""Bachelor's degree""]"
Device Engineer - IoT,"$100,000 - $135,000 a year",100000 , 135000,"['Network protocols', 'Manufacturing', 'C++', 'Communication skills', 'Machine learning', 'Bachelor of Science', ""Bachelor's degree""]"
Software Engineer,"$100,000 - $135,000 a year",100000 , 135000,"['Assembly', 'System design', 'ARM', 'Software troubleshooting', 'Writing skills', ""Bachelor's degree""]"
Software Developer,"$100,000 - $150,000 a year",100000 , 150000,"['Web services', 'Vue.js', 'CSS', 'Relational databases', 'LAMP stack']"
Senior Platform Engineer,"$100,000 - $155,000 a year",100000 , 155000,"['DynamoDB', 'SQL', 'NoSQL', 'DevOps', 'APIs']"
Software Engineer,"$100,000 - $160,000 a year",100000 , 160000,"['Analysis skills', 'Communication skills', 'Python', 'Linux', ""Bachelor's degree""]"
Software Engineer,"$100,000 - $175,000 a year",100000 , 175000,"['React', 'APIs', 'Machine learning', 'Python', 'Computer science']"
Software Engineer,"$100,000 a year",100000,0,"['Warehouse experience', 'React', 'CSS', '.NET', 'Database design', ""Bachelor's degree""]"
Cloud Engineer,"$100,001 - $120,000 a year",100001 , 120000,"['Bash', 'IaaS', 'SQL', 'Windows', 'Shell Scripting', ""Bachelor's degree"", ""Master's degree""]"
Software Developer,"$101,200 - $168,600 a year",101200 , 168600,"['REST', 'SSIS', 'jQuery', 'RESTful API', 'Communication skills', ""Bachelor's degree""]"
Software Developer,"$101,672 - $112,444 a year",101672 , 112444,"['Go', 'APIs', 'Machine learning', 'Cloud architecture']"
Software Engineer,"$103,000 - $130,000 a year",103000 , 130000,"['Confluence', 'C++', 'Communication skills', 'Agile', 'CompTIA Security+', ""Bachelor's degree""]"
Software Developer,"$103,200 - $154,800 a year",103200 , 154800,"['.NET Core', 'CSS', 'Azure', 'Bootstrap', 'DevOps']"
Software Engineer,"$103,300 - $178,200 a year",103300 , 178200,"['Web services', 'REST', 'DynamoDB', 'Microservices', 'Scrum']"
Software Developer,"$105,000 - $115,000 a year",105000 , 115000,"['Requirements gathering', '.NET Core', 'CSS', 'Azure', 'SQL', ""Bachelor's degree""]"
Software Engineer,"$105,000 - $160,000 a year",105000 , 160000,"['CSS', 'Computer graphics', 'C++', 'GitHub', 'Python', ""Bachelor's degree""]"
Firmware Engineer,"$107,469 - $138,000 a year",107469 , 138000,"['Design patterns', 'C++', 'Communication skills', 'Python', 'Linux', 'Bachelor of Science', ""Bachelor's degree"", ""Master's degree""]"
Cloud Engineer,"$109,508 - $145,000 a year",109508 , 145000,"['Azure', 'Cloud architecture', 'DevOps', 'Scripting', 'AWS', ""Bachelor's degree""]"
Software Developer,"$110,000 - $115,000 a year",110000 , 115000,"['System design', 'Responsive web design', 'UI', 'Agile', 'APIs', ""Bachelor's degree""]"
Software Engineer,"$110,000 - $120,000 a year",110000 , 120000,"['Design patterns', 'Windows', 'Visual Studio', 'C++', 'Communication skills', ""Bachelor's degree""]"
Software Developer,"$110,000 - $120,000 a year",110000 , 120000,"['Node.js', 'RESTful API', 'Communication skills', 'Agile', 'APIs', 'Bachelor of Science', ""Bachelor's degree""]"
Full Stack Developer,"$110,000 - $124,000 a year",110000 , 124000,"['React', '.NET Core', 'Azure', 'Mentoring', 'Systems analysis', ""Bachelor's degree"", ""Associate's degree""]"
DevOps Engineer,"$110,000 - $130,000 a year",110000 , 130000,"['Shell Scripting', 'PCI', 'DevOps', 'APIs', 'Kubernetes', ""Bachelor's degree""]"
Drupal Developer,"$110,000 - $130,000 a year",110000 , 130000,"['CSS', 'Drupal', 'jQuery', 'Responsive web design', 'UI', ""Bachelor's degree""]"
Software Developer,"$110,000 - $135,000 a year",110000 , 135000,"['Full-stack development', '.NET', 'Mentoring', 'Java']"
Software Engineer,"$110,000 - $145,000 a year",110000 , 145000,"['Confluence', 'C++', 'Communication skills', 'Agile', 'CompTIA Security+', ""Bachelor's degree""]"
Full Stack Engineer,"$110,000 - $160,000 a year",110000 , 160000,"['Full-stack development', 'SQL', 'Scrum', 'RESTful API', 'Communication skills']"
Software Developer,"$110,000 - $170,000 a year",110000 , 170000,"['React', 'Full-stack development', 'Java', 'Angular']"
Enterprise System Developer III,"$110,000 a year",110000,0,"['UNIX', 'Microsoft Publisher', 'SQL', 'XML', 'Data management', ""Bachelor's degree""]"
Software Developer,"$110,000 a year",110000,0,"['4G/LTE', '5G', 'Bachelor of Electrical Engineering', ""Bachelor's degree""]"
DevOps Engineer,"$110,500 - $182,300 a year",110500 , 182300,"['Jenkins', 'GitLab', '.NET', 'Node.js', 'DevOps', ""Bachelor's degree""]"
Software Engineer,"$112,700 - $209,300 a year",112700 , 209300,"['Design patterns', 'Shell Scripting', 'System design', 'ARM', 'UNIX', ""Bachelor's degree""]"
Software Engineer,"$112,880 - $146,080 a year",112880 , 146080,"['Relational databases', 'NoSQL', 'Fiddler', 'DevOps', 'Agile', ""Bachelor's degree""]"
Oracle ADF Developer/Architect,"$115,000 - $120,000 a year",115000 , 120000,"['Jenkins', 'SQL', 'Ant', 'Git', 'Maven']"
Software Systems Engineer,"$115,000 - $125,000 a year",115000 , 125000,"['SQL', 'System design', 'C++', 'RESTful API', 'APIs', ""Master's degree""]"
Database Developer,"$115,000 - $130,000 a year",115000 , 130000,"['Power BI', 'Relational databases', 'Data modeling', 'Azure', 'SQL', ""Bachelor's degree""]"
Software Developer,"$115,000 - $133,000 a year",115000 , 133000,"['Kanban', 'UNIX', 'C++', 'Python', 'Kubernetes', 'Bachelor of Science', ""Bachelor's degree""]"
DevSecOps Engineer,"$115,000 - $135,000 a year",115000 , 135000,"['Bash', 'JBoss', 'Azure', 'Shell Scripting', 'Node.js']"
Software Developer,"$115,000 - $150,000 a year",115000 , 150000,"['Analysis skills', 'Perl', 'SQL', 'Shell Scripting', 'UNIX', ""Bachelor's degree""]"
Software Engineer,"$115,000 a year",115000,0,"['Bash', 'Confluence', 'Shell Scripting', 'UNIX', 'Python', 'Bachelor of Science', ""Bachelor's degree"", 'Doctoral degree', ""Master's degree"", 'Doctor of Philosophy']"
Software Developer,"$116,700 - $221,700 a year",116700 , 221700,"['IDS', 'OS Kernels', 'System testing', 'System design', 'UNIX', ""Bachelor's degree"", ""Master's degree""]"
Software Engineer,"$116,900 - $181,100 a year",116900 , 181100,"['Unit testing', 'React', 'Analysis skills', 'Vue.js', 'Design patterns']"
Software Developer,"$118,800 - $178,200 a year",118800 , 178200,"['Software deployment', 'Communication skills', 'Agile', 'SDLC', 'Salesforce', ""Bachelor's degree""]"
Automation Engineer,"$119,970 - $204,030 a year",119970 , 204030,"['Unit testing', 'React', 'Analysis skills', 'Vue.js', 'Design patterns']"
DevOps Engineer,"$120,000 - $130,000 a year",120000 , 130000,"['Analysis skills', 'DevOps', 'Communication skills', 'Azure', 'APIs', ""Master's degree""]"
Cloud Engineer,"$120,000 - $130,000 a year",120000 , 130000,"['IaaS', 'Azure', 'VMWare', 'SAN', 'PaaS']"
Software Engineer,"$120,000 - $130,000 a year",120000 , 130000,"['React', 'JBoss', 'SOAP', 'SQL', 'Gherkin']"
DevOps Engineer,"$120,000 - $135,000 a year",120000 , 135000,"['TypeScript', 'Jenkins', 'GitLab', 'Azure', 'SVN']"
Software Developer,"$120,000 - $140,000 a year",120000 , 140000,"['Writing skills', 'Unit testing', 'Web services', 'REST', 'Jenkins']"
Software Developer,"$120,000 - $140,000 a year",120000 , 140000,"['Writing skills', 'Unit testing', 'Web services', 'REST', 'Jenkins']"
Senior Front-end Engineer (Remote),"$120,000 - $140,000 a year",120000 , 140000,"['Web development', 'Azure', 'SQL', 'Communication skills', 'Math', ""Bachelor's degree""]"
Senior UI/UX Front end Developer Remote opportunity,"$120,000 - $140,000 a year",120000 , 140000,"['D3.js', 'Scrum', 'Human capital management', 'UI', 'Agile', 'Bachelor of Science', ""Bachelor's degree""]"
Software Developer,"$120,000 - $140,000 a year",120000 , 140000,"['Writing skills', 'Unit testing', 'Web services', 'REST', 'Jenkins']"
Software Engineer,"$120,000 - $150,000 a year",120000 , 150000,"['Writing skills', 'Electrical engineering', 'C++', 'C', 'Schematics', ""Bachelor's degree""]"
Automation Engineer,"$120,000 - $150,000 a year",120000 , 150000,"['Citrix', 'SQL', 'Wealth management', 'Communication skills', 'Agile']"
DevOps Engineer,"$120,000 - $160,000 a year",120000 , 160000,"['Azure', 'DevOps', 'Chef', 'Kubernetes', 'Linux', 'Bachelor of Science', ""Bachelor's degree""]"
Software Engineer,"$120,000 - $165,000 a year",120000 , 165000,"['iOS', 'UI', 'OOP', 'Unity', 'C#', ""Bachelor's degree""]"
Database Developer,"$120,000 - $180,000 a year",120000 , 180000,"['Accounting', 'DynamoDB', 'Database design', 'Communication skills', 'PostgreSQL', ""Bachelor's degree""]"
DevOps Engineer,"$122,321 - $130,694 a year",122321 , 130694,"['Software deployment', 'Network architecture', 'Software troubleshooting', 'DevOps', 'Google Cloud Platform']"
Sr Software Applications Engineer (AI2215),"$122,500 - $157,500 a year",122500 , 157500,"['PyTorch', 'TensorFlow', 'C++', 'Computer vision', 'C', ""Bachelor's degree""]"
Software Engineer,"$123,500 - $180,000 a year",123500 , 180000,"['React', 'Flask', 'System design', 'CI/CD', 'Application development']"
Software Engineer,"$123,500 - $180,000 a year",123500 , 180000,"['System design', 'CI/CD', 'Application development', 'Agile', 'JavaScript']"
Database Developer,"$123,960 - $166,992 a year",123960 , 166992,"['CSS', 'Relational databases', 'SQL', 'Software troubleshooting', 'UNIX', ""Bachelor's degree""]"
Software Engineer,"$124,695 - $161,370 a year",124695 , 161370,"['React', 'Financial services', 'RESTful API', 'Communication skills', 'REST', 'Bachelor of Science', ""Bachelor's degree""]"
Software Engineer,"$129,455 - $155,903 a year",129455 , 155903,"['React', 'SOAP', '.NET Core', 'Azure', 'SQL', 'Bachelor of Science', ""Bachelor's degree"", ""Master's degree""]"
Oracle EBS Developer - (R12),"$130,000 - $140,000 a year",130000 , 140000,"['CSS', 'SQL', 'Technical writing', 'Windows', 'Shell Scripting', ""Bachelor's degree""]"
Web Developer,"$130,000 - $145,000 a year",130000 , 145000,"['Business intelligence', 'ASP', 'Knowledge management', 'Process improvement', 'SharePoint', ""Bachelor's degree""]"
Email Developer (Hybrid),"$130,000 - $150,000 a year",130000 , 150000,"['CSS', 'Marketing automation', 'Adobe Photoshop', 'Adobe Creative Suite', 'Adobe Illustrator']"
Senior Magento Developer (Remote),"$130,000 - $150,000 a year",130000 , 150000,"['Communication skills', 'Back-end development', 'MySQL', 'jQuery', 'PHP']"
Software Engineer,"$130,000 - $160,000 a year",130000 , 160000,"['Team management', 'Azure', 'Go', 'C++', 'DevOps', 'Bachelor of Science', ""Bachelor's degree""]"
Automation Engineer,"$130,200 - $186,000 a year",130200 , 186000,"['Auto estimating', 'Construction estimating', 'Agile', 'SDLC', 'Business requirements', ""Bachelor's degree""]"
Software Engineer,"$131,842 - $218,550 a year",131842 , 218550,"['Azure', 'Entity Framework', 'Strategic planning', 'C++', 'TFS', 'Bachelor of Science', ""Bachelor's degree""]"
Cloud Engineer,"$132,900 - $322,600 a year",132900 , 322600,"['Web services', 'Elasticsearch', 'REST', 'Azure', 'SQL']"
Software Developer,"$134,000 - $166,000 a year",134000 , 166000,"['DNS', 'PKI', 'SSL', 'VMWare', 'Windows', 'Bachelor of Science', ""Bachelor's degree"", ""Master's degree""]"
DevOps Engineer,"$135,000 - $142,000 a year",135000 , 142000,"['SAFe', 'Confluence', 'IaaS', 'Relational databases', 'SQL', ""Bachelor's degree""]"
Senior Machine Learning Engineer,"$135,000 - $235,000 a year",135000 , 235000,"['Machine learning', ""Master's degree""]"
