web-scraper-order,web-scraper-start-url,links,links-href,pages,pages-href,job title,skills,salary
1676423224-664,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/rc/clk?jk=1ea88c892612ef12&fccid=3f89bab179469b84&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Continuous improvement,null
1676423224-665,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/rc/clk?jk=1ea88c892612ef12&fccid=3f89bab179469b84&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Social media management,null
1676423226-666,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=1f1ed0e050cbd46c&fccid=f6c83a7415291e41&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Marketing,null
1676423226-667,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=1f1ed0e050cbd46c&fccid=f6c83a7415291e41&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Project management,null
1676423226-668,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/rc/clk?jk=1f1ed0e050cbd46c&fccid=f6c83a7415291e41&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,MailChimp,null
1676423231-669,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/Off-Duty-Management/jobs/Marketing-Specialist-57c8232b5ff3a6a5?fccid=91163b49da22a202&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Marketing,$19 - $20 an hour
1676423231-670,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/Off-Duty-Management/jobs/Marketing-Specialist-57c8232b5ff3a6a5?fccid=91163b49da22a202&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,B2B,$19 - $20 an hour
1676423231-671,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Marketing Specialist,https://www.indeed.com/company/Off-Duty-Management/jobs/Marketing-Specialist-57c8232b5ff3a6a5?fccid=91163b49da22a202&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Marketing Specialist,Copywriting,$19 - $20 an hour
1676423233-672,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/rc/clk?cmp=Consumr-Buzz-%7C-Digital-Marketing&ti=Social+Media+Specialist&jk=4d57f82d77ddab11&fccid=cdfefad8fc1a6090&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Content creation,$16 - $20 an hour
1676423233-673,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&vjk=7625dd0350e76dc0,Social Media Specialist,https://www.indeed.com/rc/clk?cmp=Consumr-Buzz-%7C-Digital-Marketing&ti=Social+Media+Specialist&jk=4d57f82d77ddab11&fccid=cdfefad8fc1a6090&vjs=3,5,https://www.indeed.com/jobs?q=digital+media+specialist&sc=0kf%3Aexplvl%28ENTRY_LEVEL%29%3B&fromage=14&start=40,Social Media Specialist,Social media management,$16 - $20 an hour
