job title,salary,Min Salary,Max Salary,skills
Production Packer NIGHT SHIFT Sun thru Wed,0,0,0,['Pricingmissing qualification']
Business Analyst,0,0,0,"['Project management', 'Power BI', 'Supply chain management', 'Azure', 'Product management', ""Bachelor's degree""]"
IT Business Analyst,0,0,0,[nan]
Business Analyst,0,0,0,"['Communication skills', 'SQL', 'ERP systems', 'Oracle', 'System design', ""Bachelor's degree""]"
Resource Coordinator,0,0,0,[nan]
Business Analyst,0,0,0,"['SQL', 'SAP', 'ERP systems', 'Communication skills', 'Agile', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['SAP', 'Communication skills', 'IT', 'Supply chain', 'SAP ERP']"
Business Analyst,0,0,0,"['Technical support', 'Manufacturing', 'Business analysis', 'SAP ERP', 'Communication skills']"
SKU Creation Manager,0,0,0,"['Relational databases', 'Microsoft Excel', 'Product management', 'Continuous improvement', 'Communication skills', ""Bachelor's degree""]"
Sales Analyst,0,0,0,"['Confluence', 'PMP', 'Product development', 'Communication skills', 'Agile']"
Sales Analyst,0,0,0,"['Microsoft Excel', 'Communication skills', 'Agile', 'Oracle', 'Bachelor of Science', ""Bachelor's degree""]"
Operations Analyst,0,0,0,"['Project management', 'Analysis skills', 'Communication skills', 'Microsoft Excel', 'SAP', ""Bachelor's degree""]"
Senior BI Analyst,0,0,0,"['Relational databases', 'Data modeling', 'SQL', 'ERP systems', 'Data visualization', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['Requirements gathering', 'Analysis skills', 'Jira', 'Product management', 'Business analysis', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['SQL', 'Oracle EBS', 'PL/SQL', 'Project management', 'Analysis skills', 'Bachelor of Science', ""Bachelor's degree"", 'Unit testing', 'Cost management', 'Analysis skills', 'Manufacturing', 'Oracle HCM', 'Bachelor of Science', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['SQL', 'ERP systems', 'Oracle EBS', 'Communication skills', 'PL/SQL', 'Bachelor of Science', ""Bachelor's degree""]"
IT Business Analyst,0,0,0,"['Project management', 'JD Edwards', 'Manufacturing', 'Supply chain', 'Waterfall', ""Bachelor's degree""]"
Data Analyst,0,0,0,"[""Bachelor's degree""]"
Senior Consultant,0,0,0,"['Project management', 'Payroll', 'Negotiation', 'ERP systems', 'Business analysis']"
Financial Analyst,0,0,0,"['Microsoft Excel', 'Data analytics', 'Communication skills', 'Marketing', 'Analytics', 'Bachelor of Science', ""Bachelor's degree""]"
Business Systems Analyst,0,0,0,"['SQL', 'Root cause analysis', ""Bachelor's degree""]"
IT Business Analyst,0,0,0,"['Accounting', 'JD Edwards', 'Manufacturing', 'SQL', 'ERP systems', ""Bachelor's degree""]"
Operations Analyst,0,0,0,"['Microsoft Excel', 'Business analysis', 'SAP ERP', 'Hyperion', 'Pivot tables', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['Power BI', 'CSS', 'SQL', 'Data visualization', 'Business intelligence', ""Bachelor's degree"", ""Master's degree""]"
Business Analyst,0,0,0,"['Bash', 'CSS', 'SQL', 'Shell Scripting', 'Microsoft Windows Server', ""Bachelor's degree""]"
Software Application Engineer,0,0,0,[nan]
Business Process Analyst,0,0,0,"['Accounting', 'Analysis skills', 'SAP S/4HANA', 'SAP', 'Cloud architecture']"
ERP Analyst,0,0,0,"['Accounting', 'Microsoft Excel', 'SAP', 'Systems analysis', 'Microsoft Powerpoint', ""Bachelor's degree"", 'Microsoft Access', 'EDI', 'Manufacturing', 'Microsoft Excel', 'SOX', ""Bachelor's degree""]"
Business Systems Analyst,0,0,0,"['Software deployment', 'Web services', 'Analysis skills', 'Supply chain management', 'SAP S/4HANA', ""Bachelor's degree""]"
Business Analyst,0,0,0,"['Writing skills', 'Analysis skills', 'Payroll', 'Microsoft Excel', 'SAP', ""Bachelor's degree""]"
Operations Analyst,0,0,0,['ERP systemsmissing qualification']
